"Date","Price","Open","High","Low","Change %"
"Apr 29, 2019","69.817","69.879","69.895","69.797","-0.05%"
"Apr 26, 2019","69.850","70.173","70.247","69.810","-0.46%"
"Apr 25, 2019","70.170","70.010","70.335","69.920","0.30%"
"Apr 24, 2019","69.960","69.779","70.000","69.762","0.27%"
"Apr 23, 2019","69.770","69.630","69.840","69.540","0.10%"
"Apr 22, 2019","69.700","69.366","69.906","69.366","0.42%"
"Apr 19, 2019","69.407","69.416","69.429","69.355","0.02%"
"Apr 18, 2019","69.395","69.417","69.619","69.330","-0.05%"
"Apr 17, 2019","69.431","69.547","69.570","69.362","-0.14%"
"Apr 16, 2019","69.530","69.422","69.690","69.422","0.19%"
"Apr 15, 2019","69.395","69.174","69.483","69.045","0.30%"
"Apr 12, 2019","69.190","69.030","69.390","69.030","0.25%"
"Apr 11, 2019","69.020","69.164","69.222","68.837","-0.19%"
"Apr 10, 2019","69.150","69.258","69.366","69.090","-0.19%"
"Apr 09, 2019","69.280","69.538","69.740","69.248","-0.40%"
"Apr 08, 2019","69.555","69.335","69.720","69.335","0.56%"
"Apr 05, 2019","69.170","68.992","69.338","68.986","0.28%"
"Apr 04, 2019","68.980","68.540","69.220","68.520","0.77%"
"Apr 03, 2019","68.450","68.730","68.835","68.390","-0.68%"
"Apr 02, 2019","68.920","69.280","69.390","68.720","-0.41%"
"Apr 01, 2019","69.205","69.356","69.424","69.185","0.03%"
"Mar 29, 2019","69.185","69.178","69.320","69.042","-0.01%"
"Mar 28, 2019","69.190","69.124","69.380","68.950","0.13%"
"Mar 27, 2019","69.100","69.039","69.187","68.780","0.15%"
"Mar 26, 2019","68.996","68.931","69.017","68.779","0.15%"
"Mar 25, 2019","68.890","69.159","69.176","68.795","-0.40%"
"Mar 22, 2019","69.170","68.650","69.170","68.540","0.52%"
"Mar 21, 2019","68.810","68.565","68.810","68.510","0.03%"
"Mar 20, 2019","68.790","69.027","69.176","68.731","-0.33%"
"Mar 19, 2019","69.015","68.619","69.067","68.350","0.57%"
"Mar 18, 2019","68.625","68.959","68.959","68.431","-0.49%"
"Mar 15, 2019","68.963","69.357","69.372","68.935","-0.58%"
"Mar 14, 2019","69.365","69.525","69.755","69.255","-0.24%"
"Mar 13, 2019","69.529","69.607","69.794","69.419","-0.14%"
"Mar 12, 2019","69.625","69.821","69.821","69.491","-0.32%"
"Mar 11, 2019","69.850","70.028","70.041","69.808","-0.23%"
"Mar 08, 2019","70.012","70.111","70.245","69.827","-0.15%"
"Mar 07, 2019","70.116","70.151","70.152","69.950","0.05%"
"Mar 06, 2019","70.080","70.479","70.692","70.022","-0.58%"
"Mar 05, 2019","70.490","70.963","70.975","70.448","-0.59%"
"Mar 04, 2019","70.910","70.815","70.923","70.800","-0.13%"
"Mar 01, 2019","71.000","70.811","71.000","70.715","0.23%"
"Feb 28, 2019","70.840","71.231","71.271","70.713","-0.51%"
"Feb 27, 2019","71.200","71.010","71.491","70.929","0.34%"
"Feb 26, 2019","70.960","70.829","71.346","70.809","0.18%"
"Feb 25, 2019","70.834","71.034","71.102","70.827","-0.28%"
"Feb 22, 2019","71.035","71.195","71.265","71.035","-0.18%"
"Feb 21, 2019","71.165","71.061","71.280","70.925","0.22%"
"Feb 20, 2019","71.010","71.320","71.344","70.933","-0.41%"
"Feb 19, 2019","71.300","71.351","71.602","71.251","-0.12%"
"Feb 18, 2019","71.387","71.335","71.537","71.326","0.08%"
